candidate_id,rank,score,reasoning
CAND_0061265,1,0.9678,Recommendation Systems Engineer with 6.6 YOE. Matched 10 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 79.8). Recruiter response rate is 94%.
CAND_0077337,2,0.958,Staff Machine Learning Engineer with 7.0 YOE. Matched 11 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 68.0). Recruiter response rate is 95%.
CAND_0002025,3,0.9569,Senior AI Engineer with 5.9 YOE. Matched 8 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 96.9). Recruiter response rate is 80%.
CAND_0011687,4,0.9543,Senior NLP Engineer with 7.8 YOE. Matched 10 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 76.3). Recruiter response rate is 89%.
CAND_0076163,5,0.9526,NLP Engineer with 6.9 YOE. Matched 6 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 84.6). Recruiter response rate is 84%.
CAND_0064326,6,0.9494,Search Engineer with 7.6 YOE. Matched 7 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 61.4). Recruiter response rate is 94%.
CAND_0096142,7,0.9485,Applied ML Engineer with 5.0 YOE. Matched 6 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 80.5). Recruiter response rate is 84%.
CAND_0052682,8,0.9484,NLP Engineer with 6.6 YOE. Matched 6 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 72.4). Recruiter response rate is 88%.
CAND_0065195,9,0.9473,Search Engineer with 5.1 YOE. Matched 7 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 87.3). Recruiter response rate is 80%.
CAND_0024990,10,0.946,Junior ML Engineer with 5.2 YOE. Matched 5 critical retrieval/ranking and 7 secondary ML skills. Highly active GitHub profile (score 80.0). Recruiter response rate is 83%.
CAND_0006418,11,0.9437,Machine Learning Engineer with 5.7 YOE. Matched 8 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 59.7). Recruiter response rate is 92%.
CAND_0081053,12,0.9437,NLP Engineer with 5.4 YOE. Matched 8 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 77.7). Recruiter response rate is 83%.
CAND_0074735,13,0.9417,Applied ML Engineer with 5.5 YOE. Matched 7 critical retrieval/ranking and 2 secondary ML skills. Highly active GitHub profile (score 87.7). Recruiter response rate is 77%.
CAND_0088025,14,0.9406,Staff Machine Learning Engineer with 8.6 YOE. Matched 6 critical retrieval/ranking and 7 secondary ML skills. Highly active GitHub profile (score 74.6). Recruiter response rate is 83%.
CAND_0016163,15,0.939,Applied ML Engineer with 6.7 YOE. Matched 10 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 95.0). Recruiter response rate is 72%.
CAND_0017960,16,0.9364,Recommendation Systems Engineer with 7.7 YOE. Matched 8 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 92.4). Recruiter response rate is 72%.
CAND_0052328,17,0.9356,Recommendation Systems Engineer with 6.5 YOE. Matched 6 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 77.6). Recruiter response rate is 79%.
CAND_0049538,18,0.9348,Applied ML Engineer with 5.8 YOE. Matched 7 critical retrieval/ranking and 4 secondary ML skills. Highly active GitHub profile (score 90.8). Recruiter response rate is 72%.
CAND_0071974,19,0.9348,Senior AI Engineer with 7.8 YOE. Matched 10 critical retrieval/ranking and 6 secondary ML skills. Highly active GitHub profile (score 82.8). Recruiter response rate is 76%.
CAND_0094056,20,0.9288,NLP Engineer with 5.9 YOE. Matched 10 critical retrieval/ranking and 3 secondary ML skills. Highly active GitHub profile (score 64.8). Recruiter response rate is 82%.
CAND_0079387,21,0.9261,AI Engineer with 6.9 YOE. Matched 11 critical retrieval/ranking and 5 secondary ML skills. Highly active GitHub profile (score 64.1). Recruiter response rate is 81%.
